Piloto,Country,Points,Win,Podium,Top 10,FL,Pole,DOTD,CD,DNF,Entries,Equipe,teamcolor
Gabriel Lucas,br,354,11,11,13,0,0,0,0,,15,Aston Martin,229971
Cronus,br,330,2,11,15,0,0,0,0,,19,Sauber,00ff00
Jaime,br,275,3,9,14,0,0,0,0,,16,Aston Martin,229971
Teodoro,br,248,0,3,14,0,0,0,0,,17,Alpine,0093cc
Carlos Martins,au,223,0,2,12,0,0,0,0,,18,McLaren,ff8000
Quezadoe,nz,190,0,0,12,0,0,0,0,,16,McLaren,ff8000
Well,br,186,0,1,9,0,0,0,0,,17,Racing Bulls,6692ff
Jestem,pl,180,0,2,8,0,0,0,0,,16,Williams,64c4ff
Gunner,br,171,0,2,9,0,0,0,0,,13,Mercedes,22cfb2ff
Hiran Pelosi,br,165,0,0,9,0,0,0,0,,16,Ferrari,e80020
Rudnei,br,135,0,0,6,0,0,0,0,,17,Red Bull,3671c6
Adriano Tahariel,br,131,0,0,4,0,0,0,0,,19,Ferrari,e80020
Rafael Lemes,br,130,0,0,5,0,0,0,0,,16,Sauber,00ff00
SOLDIER,br,117,0,4,6,0,0,0,0,,8,Haas,a5a9acff
Nicolas Rodrigues,br,113,0,0,4,0,0,0,0,,12,Reserve,000000ff
Marcio Schuchter,br,109,0,0,5,0,0,0,0,,11,Alpine,0093cc
Lucas,br,105,1,2,5,0,0,0,0,,8,Reserve,000000ff
Wonderful,br,93,1,2,5,0,0,0,0,,5,Reserve,000000ff
Razor,gb,82,0,0,4,0,0,0,0,,8,Williams,64c4ff
Aquiles,ar,65,0,,,,,,,,,Reserve,000000ff
Ricardo,de,60,0,0,1,0,0,0,0,,9,Racing Bulls,6692ff
João Feliz,br,46,0,0,0,0,0,0,0,,10,Red Bull,3671c6
Heliakim,br,44,0,1,2,0,0,0,0,,3,Haas,a5a9acff
Boris Doido,br,44,0,1,3,0,0,0,0,,3,Reserve,000000ff
WIZE,br,38,0,0,2,0,0,0,0,,5,Reserve,000000ff
Force Paulo,br,34,0,,,,,,,,,Reserve,000000ff
Alypoke,ar,30,0,0,1,0,0,0,0,,3,Mercedes,22cfb2ff
Piloto 9,,0,,,,,,,,,,,
Piloto 8,,0,,,,,,,,,,,
Piloto 7,,0,,,,,,,,,,,
Piloto 6,,0,,,,,,,,,,,
Piloto 5,,0,0,,,,,,,,,,
Piloto 11,,0,,,,,,,,,,,
Piloto 10,,0,,,,,,,,,,,